"filename", "language", "TypeScript", "JavaScript", "CSS", "XML", "TypeScript React", "JavaScript React", "JSON", "comment", "blank", "total"
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\PopoverTypes.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\RolesActionPopover.tsx", "TypeScript React", 0, 0, 0, 0, 102, 0, 0, 1, 6, 109
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\SortPopover.tsx", "TypeScript React", 0, 0, 0, 0, 123, 0, 0, 2, 6, 131
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Popovers\UserProfilePopover.tsx", "TypeScript React", 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\ApexSelectMui.tsx", "TypeScript React", 0, 0, 0, 0, 78, 0, 0, 2, 7, 87
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\ApexSelectNative.tsx", "TypeScript React", 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\ApexSelectRS.tsx", "TypeScript React", 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\SelectItem.tsx", "TypeScript React", 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\SelectItemsType.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Status\Status.tsx", "TypeScript React", 0, 0, 0, 0, 48, 0, 0, 0, 10, 58
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ApexTable.jsx", "JavaScript React", 0, 0, 0, 0, 0, 472, 0, 6, 39, 517
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\ApexGrid.tsx", "TypeScript React", 0, 0, 0, 0, 372, 0, 0, 12, 37, 421
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\ApexGridState.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\ApexGridTypes.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\DraggableHeaderRenderer.tsx", "TypeScript React", 0, 0, 0, 0, 57, 0, 0, 0, 6, 63
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\SelectEditor.tsx", "TypeScript React", 0, 0, 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\SimpleApexGrid.tsx", "TypeScript React", 0, 0, 0, 0, 103, 0, 0, 0, 18, 121
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\SortableHeaderCell.tsx", "TypeScript React", 0, 0, 0, 0, 47, 0, 0, 0, 6, 53
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\useCombinedRefs.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 2, 2, 19
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\TableButtons.tsx", "TypeScript React", 0, 0, 0, 0, 68, 0, 0, 0, 5, 73
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\TableButtonsTypes.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\TableTypes.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Tabs\TabsWrapper.tsx", "TypeScript React", 0, 0, 0, 0, 108, 0, 0, 7, 10, 125
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Tabs\TabsWrapperTypes.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\TextFields\ApexTextField.tsx", "TypeScript React", 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\User\UserProfile.tsx", "TypeScript React", 0, 0, 0, 0, 186, 0, 0, 4, 12, 202
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\User\UserTypes.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\Image.tsx", "TypeScript React", 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\Loading.tsx", "TypeScript React", 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\PerpetualSpinner.tsx", "TypeScript React", 0, 0, 0, 0, 58, 0, 0, 0, 7, 65
