"filename", "language", "JavaScript", "CSS", "XML", "JavaScript React", "comment", "blank", "total"
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\DialogsState.js", "JavaScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\LayoutState.js", "JavaScript", 15, 0, 0, 0, 0, 8, 23
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\UISpinnerState.js", "JavaScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\UserState.js", "JavaScript", 19, 0, 0, 0, 2, 3, 24
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\WorkflowState.js", "JavaScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Store\Store.js", "JavaScript", 24, 0, 0, 0, 0, 6, 30
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\Landing\LandingRoute.js", "JavaScript", 72, 0, 0, 0, 1, 6, 79
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\Login\LoginRoute.js", "JavaScript", 50, 0, 0, 0, 0, 5, 55
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\ProductBackground.js", "JavaScript", 26, 0, 0, 0, 0, 5, 31
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\ProtectedRoute.js", "JavaScript", 33, 0, 0, 0, 0, 6, 39
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Routes\Register\RegisterRoute.js", "JavaScript", 29, 0, 0, 0, 0, 6, 35
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\AuthService.js", "JavaScript", 5, 0, 0, 0, 23, 7, 35
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\BaseUrlService.js", "JavaScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\HistoryService.js", "JavaScript", 3, 0, 0, 0, 0, 2, 5
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\IconsService.js", "JavaScript", 23, 0, 0, 0, 0, 5, 28
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Services\ToolTipService.js", "JavaScript", 0, 0, 0, 0, 1, 1, 2
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Theme\Theme.js", "JavaScript", 121, 0, 0, 0, 8, 5, 134
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\CircularArray.js", "JavaScript", 19, 0, 0, 0, 0, 4, 23
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\CleanTableData.js", "JavaScript", 11, 0, 0, 0, 2, 2, 15
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\ComposeRefs.js", "JavaScript", 15, 0, 0, 0, 0, 4, 19
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\FormatDate.js", "JavaScript", 10, 0, 0, 0, 1, 3, 14
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GenerateActionsColumn.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GenerateActualTable.js", "JavaScript", 22, 0, 0, 0, 1, 6, 29
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GenerateInterimTable.js", "JavaScript", 27, 0, 0, 0, 6, 10, 43
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GenerateOptionIndices.js", "JavaScript", 4, 0, 0, 0, 0, 2, 6
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GenerateTableColumnWidths.js", "JavaScript", 18, 0, 0, 0, 1, 7, 26
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GenerateTableRolesIndices.js", "JavaScript", 6, 0, 0, 0, 1, 2, 9
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GenerateTableWidth.js", "JavaScript", 5, 0, 0, 0, 1, 2, 8
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GetFirstCharFromEveryWord.js", "JavaScript", 9, 0, 0, 0, 0, 4, 13
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GetInitials.js", "JavaScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\GetTableHeaders.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\RegenerateTableWithActualHeaders.js", "JavaScript", 9, 0, 0, 0, 1, 5, 15
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\SizeConversions.js", "JavaScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Utils\ToTitleCase.js", "JavaScript", 9, 0, 0, 0, 0, 1, 10
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\NotificationDialog.jsx", "JavaScript React", 0, 0, 0, 47, 0, 3, 50
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\SelectDatabase.jsx", "JavaScript React", 0, 0, 0, 125, 1, 9, 135
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Components\SimpleDialog.js", "JavaScript", 123, 0, 0, 0, 2, 11, 136
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\DragAndDrop.svg", "XML", 0, 0, 79, 0, 0, 1, 80
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\ExistingDeck.svg", "XML", 0, 0, 17, 0, 0, 0, 17
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\Import.svg", "XML", 0, 0, 43, 0, 1, 1, 45
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\ImportDatabase.svg", "XML", 0, 0, 52, 0, 1, 2, 55
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\Input.svg", "XML", 0, 0, 17, 0, 1, 1, 19
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\MSExcel.svg", "XML", 0, 0, 7, 0, 0, 0, 7
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Images\Notepad.svg", "XML", 0, 0, 50, 0, 1, 1, 52
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Actions\DatabaseServerActions.js", "JavaScript", 40, 0, 0, 0, 0, 4, 44
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Actions\InputActions.js", "JavaScript", 167, 0, 0, 0, 1, 18, 186
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Actions\SetStepperActions.js", "JavaScript", 63, 0, 0, 0, 0, 2, 65
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Reducers\DatabaseServerReducers.js", "JavaScript", 34, 0, 0, 0, 0, 4, 38
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Reducers\InputReducer.js", "JavaScript", 103, 0, 0, 0, 0, 29, 132
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\Sagas\connectDatabaseSaga.js", "JavaScript", 45, 0, 0, 0, 4, 11, 60
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\State\DatabaseServerState.js", "JavaScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Redux\State\ImportState.js", "JavaScript", 38, 0, 0, 0, 0, 6, 44
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\InputBackground.js", "JavaScript", 20, 0, 0, 0, 0, 5, 25
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\InputLanding.js", "JavaScript", 121, 0, 0, 0, 3, 11, 135
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\InputLayout.js", "JavaScript", 109, 0, 0, 0, 3, 9, 121
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\InputWorkflows\DatabaseExcelWorkflow.js", "JavaScript", 216, 0, 0, 0, 7, 12, 235
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\InputWorkflows\DatabaseWorkflow.js", "JavaScript", 228, 0, 0, 0, 7, 11, 246
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\InputWorkflows\ExcelWorkflow.js", "JavaScript", 244, 0, 0, 0, 12, 12, 268
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\InputWorkflows\ExistingDataRoute.js", "JavaScript", 278, 0, 0, 0, 9, 22, 309
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\Workflows\ConnectDatabase.js", "JavaScript", 180, 0, 0, 0, 1, 12, 193
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\Workflows\MatchHeaders.js", "JavaScript", 311, 0, 0, 0, 38, 38, 387
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\Workflows\MatchUnits.js", "JavaScript", 306, 0, 0, 0, 44, 39, 389
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\Workflows\PreviewSave.js", "JavaScript", 202, 0, 0, 0, 11, 26, 239
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\Workflows\SelectHeaderUnitData.js", "JavaScript", 130, 0, 0, 0, 7, 19, 156
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\Workflows\SelectSheet.js", "JavaScript", 202, 0, 0, 0, 3, 16, 221
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\Common\Workflows\UploadFile.js", "JavaScript", 283, 0, 0, 0, 3, 20, 306
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\EconomicsData\EconomicsDataLanding.js", "JavaScript", 120, 0, 0, 0, 1, 9, 130
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\ForecastDeck\ImportForecastLanding.js", "JavaScript", 84, 0, 0, 0, 3, 7, 94
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Routes\ProductionData\ProductionDataLanding.js", "JavaScript", 119, 0, 0, 0, 3, 9, 131
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Services\FileIconService.js", "JavaScript", 13, 0, 0, 0, 0, 4, 17
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Import\Services\FileSizeService.js", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Network\Common\NetworkLayout.js", "JavaScript", 10, 0, 0, 0, 0, 4, 14
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Network\Images\Pipeline.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Network\Network.js", "JavaScript", 17, 0, 0, 0, 0, 3, 20
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Common\SelectChart.js", "JavaScript", 25, 0, 0, 0, 1, 6, 32
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Common\SelectChartDataPanel.js", "JavaScript", 96, 0, 0, 0, 2, 15, 113
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Common\Visualytics.js", "JavaScript", 59, 0, 0, 0, 4, 7, 70
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Common\VisualyticsBackground.js", "JavaScript", 25, 0, 0, 0, 0, 5, 30
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Common\VisualyticsLayout.js", "JavaScript", 57, 0, 0, 0, 3, 7, 67
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Components\BarChart.js", "JavaScript", 47, 0, 0, 0, 0, 6, 53
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Components\DoughnutChart.js", "JavaScript", 73, 0, 0, 0, 2, 9, 84
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Components\LineChart.js", "JavaScript", 52, 0, 0, 0, 0, 6, 58
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Components\StackedAreaChart.js", "JavaScript", 81, 0, 0, 0, 6, 6, 93
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Components\StackedAreaChartPanel.js", "JavaScript", 110, 0, 0, 0, 3, 9, 122
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Components\TreeView.js", "JavaScript", 306, 0, 0, 0, 13, 24, 343
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Images\DragAndDrop.svg", "XML", 0, 0, 7, 0, 1, 1, 9
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Visualytics\Images\Visualytics.svg", "XML", 0, 0, 105, 0, 1, 1, 107
