"filename", "language", "JavaScript", "TypeScript React", "TypeScript", "XML", "JavaScript React", "CSS", "comment", "blank", "total"
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Saved\Types.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\ApexSelectMui.tsx", "TypeScript React", 0, 78, 0, 0, 0, 0, 2, 7, 87
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\ApexSelectNative.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\ApexSelectRS.tsx", "TypeScript React", 0, 36, 0, 0, 0, 0, 1, 6, 43
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\SelectItem.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Selects\SelectItemsType.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Streams\FromStream.tsx", "TypeScript React", 0, 3, 0, 0, 0, 0, 34, 2, 39
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Styles\ApexFlexContainer.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Svg\TickIcon.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Switches\ApexMuiSwitch.tsx", "TypeScript React", 0, 84, 0, 0, 0, 0, 9, 4, 97
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Switches\ApexMuiSwitchTypes.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\ApexGrid.tsx", "TypeScript React", 0, 382, 0, 0, 0, 0, 8, 40, 430
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\ApexGridState.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\ApexGridTypes.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 5, 58
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\DraggableHeaderRenderer.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 6, 63
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\SelectEditor.tsx", "TypeScript React", 0, 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\SimpleApexGrid.tsx", "TypeScript React", 0, 95, 0, 0, 0, 0, 0, 18, 113
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\SortableHeaderCell.tsx", "TypeScript React", 0, 47, 0, 0, 0, 0, 0, 6, 53
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\ReactDataGrid\useCombinedRefs.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 2, 2, 19
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\TableButtons.tsx", "TypeScript React", 0, 68, 0, 0, 0, 0, 0, 5, 73
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\TableButtonsTypes.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
